"Parameter","Mean","SD","Naive SE","Time-series SE","2.5%","25%","50%","75%","97.5%"
"p_patient[20,1]",0.105323333333333,0.306970100972443,0.000560448162607485,0.000843014322225418,0,0,0,0,1
"p_patient[20,2]",0.72873,0.444615840973029,0.000811753751750192,0.00113196964108611,0,0,1,1,1
"p_patient[20,3]",0.443326666666667,0.496778578361367,0.000906989444846229,0.00114029838463906,0,0,0,1,1
"p_patient[20,4]",0.566016666666667,0.495623464467685,0.000904880505059371,0.00130073348629679,0,0,1,1,1
"p_patient[3,1]",0.4244,0.494252419604444,0.000902377331062875,0.000966262417493476,0,0,0,1,1
"p_patient[3,2]",0.793263333333333,0.404965633084384,0.000739362707515591,0.00101447140837305,0,1,1,1,1
"p_patient[3,3]",0.661256666666667,0.473283249346874,0.000864093039188751,0.000943818806547609,0,0,1,1,1
"p_patient[3,4]",0.482056666666667,0.499678765860414,0.000912284438560303,0.00135788218871832,0,0,0,1,1
"p_patient[4,1]",0.323053333333333,0.46764367431223,0.000853796630984692,0.00100741366952505,0,0,0,1,1
"p_patient[4,2]",0.899743333333333,0.300342418150988,0.000548347724656483,0.000673468805744497,0,1,1,1,1
"p_patient[4,3]",0.82969,0.375905539885466,0.000686306478954758,0.00075918901313209,0,1,1,1,1
"p_patient[4,4]",0.784836666666667,0.410936292164219,0.000750263589719587,0.00121797299863166,0,1,1,1,1
"p_patient[5,1]",0.209453333333333,0.406919139919522,0.000742929306715077,0.000833370950561085,0,0,0,0,1
"p_patient[5,2]",0.384906666666667,0.486574057881499,0.000888358624661738,0.00158891121491764,0,0,0,1,1
"p_patient[5,3]",0.361796666666667,0.480521184053575,0.000877307639550782,0.00107027389846796,0,0,0,1,1
"p_patient[5,4]",0.197673333333333,0.398245044270409,0.000727092647205156,0.0011869055135642,0,0,0,0,1
"p_patient[6,1]",0.772476666666667,0.41923388696414,0.000765412855869436,0.000917118911907758,0,1,1,1,1
"p_patient[6,2]",0.878786666666667,0.326375575412147,0.000595877549573204,0.000777726858082943,0,1,1,1,1
"p_patient[6,3]",0.431076666666667,0.495227615974238,0.000904157787895319,0.00165553379033087,0,0,0,1,1
"p_patient[6,4]",0.78487,0.410913185395836,0.00075022140272534,0.00109520490002804,0,1,1,1,1
"p_patient[7,1]",0.315396666666667,0.464674433408295,0.00084837556357885,0.000998786238740789,0,0,0,1,1
"p_patient[7,2]",0.384256666666667,0.486419848967728,0.000888077078992936,0.00178166973887623,0,0,0,1,1
"p_patient[7,3]",0.56449,0.49582442393741,0.00090524740517508,0.00121834822501087,0,0,1,1,1
"p_patient[7,4]",0.328843333333333,0.469793711263422,0.000857722043443484,0.00137898066374294,0,0,0,1,1
"p_patient[8,1]",0.344356666666667,0.475158821211646,0.000867517349250609,0.00108384859291048,0,0,0,1,1
"p_patient[8,2]",0.490936666666667,0.49991868243864,0.000912722464299684,0.00135349874839831,0,0,0,1,1
"p_patient[8,3]",0.661293333333333,0.47327075468444,0.000864070227160539,0.00148395136113612,0,0,1,1,1
"p_patient[8,4]",0.252506666666667,0.434451008877279,0.000793195392309877,0.00122739459157762,0,0,0,1,1
"p_patient[9,1]",0.543596666666667,0.498096534475076,0.000909395692490496,0.00100532117508288,0,0,1,1,1
"p_patient[9,2]",0.81297,0.389936258809419,0.000711922949796971,0.0012645796287691,0,1,1,1,1
"p_patient[9,3]",0.881676666666667,0.322991129702434,0.000589698425373667,0.00066365354690244,0,1,1,1,1
"p_patient[9,4]",0.73761,0.439934237176926,0.000803206351735435,0.00117359649591647,0,0,1,1,1
