"Parameter","Mean","SD","Naive SE","Time-series SE","2.5%","25%","50%","75%","97.5%"
"p_patient[5,2]",0.00487,0.0696153665100663,0.000127099688621843,0.00013404003314893,0,0,0,0,0
"p_patient[5,3]",0.203366666666667,0.402503671518957,0.000734867801231942,0.00228588077568581,0,0,0,0,1
"p_patient[5,4]",0.11672,0.321086881164508,0.000586221759109273,0.0009098977001075,0,0,0,0,1
"p_patient[6,1]",0.111133333333333,0.314297700965774,0.00057382646863656,0.000890090157106512,0,0,0,0,1
"p_patient[6,2]",0.07197,0.258438661455942,0.000471842282036202,0.000744043760719525,0,0,0,0,1
"p_patient[6,3]",0.224193333333333,0.417050671253622,0.000761426867560934,0.00169323164516875,0,0,0,0,1
"p_patient[6,4]",0.04129,0.198960468060599,0.000363250454695255,0.000426112851653174,0,0,0,0,1
"p_patient[7,1]",0.160366666666667,0.366946382624285,0.000669949370527475,0.00122258718445251,0,0,0,0,1
"p_patient[7,2]",0.01885,0.13599536443986,0.000248292429399492,0.000290538713015136,0,0,0,0,0
"p_patient[7,3]",0.111863333333333,0.315198761349754,0.000575471572296493,0.00091797136376035,0,0,0,0,1
"p_patient[7,4]",0.07131,0.257342387978251,0.000469840769659782,0.000545365069532767,0,0,0,0,1
"p_patient[8,1]",0.157043333333333,0.363842226877863,0.000664281983446394,0.00116519117849558,0,0,0,0,1
"p_patient[8,2]",0.0490533333333333,0.21597976598072,0.000394323299307758,0.000551654329599579,0,0,0,0,1
"p_patient[8,3]",0.0732466666666667,0.260541395485666,0.000475681331571246,0.00100373554662312,0,0,0,0,1
"p_patient[8,4]",0.0217966666666667,0.14601932427262,0.000266593592452585,0.000310407217919622,0,0,0,0,0
"p_patient[9,1]",0.0105966666666667,0.102393419076927,0.000186943951228375,0.000242330289404288,0,0,0,0,0
"p_patient[9,2]",0.01781,0.132260584489638,0.000241473685312642,0.000340955558372017,0,0,0,0,0
"p_patient[9,3]",0.0546733333333333,0.227341884035175,0.000415067593839296,0.000807900313421958,0,0,0,0,1
"p_patient[9,4]",0.001,0.0316070139369587,5.77062483621748e-05,6.15145710938017e-05,0,0,0,0,0
